epoch,learning_rate,loss,sparse_categorical_accuracy,sparse_top_k_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,val_sparse_top_k_categorical_accuracy
0,0.0010000000474974513,2.6152520179748535,0.49256250262260437,0.6815624833106995,1.6940079927444458,0.5253124833106995,0.7384374737739563
1,0.0010000000474974513,1.4807698726654053,0.5814375281333923,0.760937511920929,1.3472377061843872,0.6356250047683716,0.7853124737739563
2,0.0010000000474974513,1.3011910915374756,0.6349999904632568,0.7975000143051147,1.253739356994629,0.6393749713897705,0.8125
3,0.0010000000474974513,1.2443023920059204,0.6426249742507935,0.8087499737739563,1.2179580926895142,0.640625,0.8165624737739563
4,0.0010000000474974513,1.2110663652420044,0.6493750214576721,0.8118749856948853,1.1869804859161377,0.6537500023841858,0.8221874833106995
5,0.0010000000474974513,1.173208475112915,0.6619374752044678,0.8203125,1.1397861242294312,0.6756250262260437,0.8331249952316284
6,0.0010000000474974513,1.1170365810394287,0.6836249828338623,0.8359375,1.0753501653671265,0.7046874761581421,0.848437488079071
7,0.0010000000474974513,1.0426273345947266,0.7070624828338623,0.8566250205039978,1.000686764717102,0.7321875095367432,0.8693749904632568
8,0.0010000000474974513,0.9579287171363831,0.7378749847412109,0.8842499852180481,0.8894310593605042,0.760937511920929,0.8987500071525574
9,0.0010000000474974513,0.8580842018127441,0.7705625295639038,0.9065625071525574,0.796308159828186,0.7987499833106995,0.917187511920929
10,0.0010000000474974513,0.7681687474250793,0.8027499914169312,0.9221875071525574,0.7217540740966797,0.8187500238418579,0.9256250262260437
11,0.0010000000474974513,0.6976907253265381,0.8224375247955322,0.9336249828338623,0.6755837202072144,0.8315625190734863,0.9296875
12,0.0010000000474974513,0.6426387429237366,0.8372499942779541,0.9419999718666077,0.632949948310852,0.8456249833106995,0.9371874928474426
13,0.0010000000474974513,0.5924366116523743,0.8517500162124634,0.9511874914169312,0.5868239998817444,0.8571875095367432,0.9431250095367432
14,0.0010000000474974513,0.5429917573928833,0.8643749952316284,0.9568750262260437,0.5556096434593201,0.8671875,0.9468749761581421
15,0.0010000000474974513,0.5094201564788818,0.8730000257492065,0.9613749980926514,0.5263658165931702,0.8765624761581421,0.9518749713897705
16,0.0010000000474974513,0.47263529896736145,0.882437527179718,0.9649375081062317,0.5021013617515564,0.8837500214576721,0.9568750262260437
17,0.0010000000474974513,0.44290971755981445,0.8889374732971191,0.9681249856948853,0.4784296154975891,0.890625,0.9609375
18,0.0010000000474974513,0.41921165585517883,0.8958125114440918,0.9707499742507935,0.46337708830833435,0.8903124928474426,0.9624999761581421
19,0.0010000000474974513,0.3962661623954773,0.9009374976158142,0.973437488079071,0.45577821135520935,0.8918750286102295,0.9659374952316284
